City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,pachino,36.7186,15.0907,295.73,70,37,3.67,IT,1727212431
265,namie,37.4833,141.0,290.36,89,100,3.49,JP,1727212432
266,santa cruz,-17.8,-63.1667,307.85,41,0,6.69,BO,1727212433
267,malindi,-3.2175,40.1191,298.12,78,35,6.67,KE,1727212434
268,hithadhoo,-0.6,73.0833,301.26,74,82,5.64,MV,1727212435
269,arraial do cabo,-22.9661,-42.0278,297.07,83,0,10.29,BR,1727212436
270,port isabel,26.0734,-97.2086,304.3,75,40,4.63,US,1727212437
271,enewetak,11.3474,162.3373,302.02,75,94,5.33,MH,1727212438
272,labytnangi,66.6572,66.4183,274.91,70,92,8.55,RU,1727212440
273,tamuin,21.9833,-98.75,304.22,60,72,2.09,MX,1727212441
274,thenkasi,8.9667,77.3,296.72,93,100,3.54,IN,1727212442
275,okha,53.5739,142.9478,281.98,81,90,2.19,RU,1727212443
276,taltal,-25.4,-70.4833,290.86,67,27,3.17,CL,1727212444
277,qaqortoq,60.7167,-46.0333,277.43,93,32,1.94,GL,1727212445
278,codrington,-38.2667,141.9667,283.29,86,100,5.15,AU,1727212446
279,eagleton village,35.7951,-83.9318,303.85,54,75,7.72,US,1727212447
280,muisne,0.6,-80.0333,297.62,78,89,5.16,EC,1727212449
281,hotan,37.0997,79.9269,296.04,21,0,0.74,CN,1727212450
282,pampa,35.5362,-100.9599,302.17,32,0,7.2,US,1727212451
283,tual,-5.6667,132.75,300.08,80,100,3.97,ID,1727212452
284,freetown,8.484,-13.2299,297.39,94,100,3.74,SL,1727212453
285,shubarkuduk,49.1447,56.4872,283.39,38,100,5.42,KZ,1727212454
286,lake city,30.1897,-82.6393,305.76,43,40,2.57,US,1727212455
287,oranjemund,-28.55,16.4333,285.8,89,28,2.3,NA,1727212457
288,kenitra,34.261,-6.5802,291.57,73,49,2.02,MA,1727212458
289,tadine,-21.55,167.8833,296.71,69,9,5.5,NC,1727212459
290,bingol,38.8847,40.4939,289.65,57,92,1.9,TR,1727212460
291,ribeira grande,38.5167,-28.7,297.47,92,100,7.15,PT,1727212461
292,barnard castle,54.5415,-1.919,282.61,90,7,2.81,GB,1727212462
293,veraval,20.9,70.3667,299.75,83,64,6.48,IN,1727212463
294,morinville,53.8001,-113.652,298.44,36,8,1.3,CA,1727212225
295,new norfolk,-42.7826,147.0587,283.1,70,95,2.62,AU,1727212466
296,kapa'a,22.0752,-159.319,302.33,67,40,6.17,US,1727212407
297,grand-popo,6.2804,1.8225,298.83,87,92,3.56,BJ,1727212468
298,pauini,-7.7136,-66.9764,310.6,27,88,1.94,BR,1727212469
299,mancio lima,-7.6142,-72.8958,306.34,44,40,3.3,BR,1727212470
300,imperatriz,-5.5264,-47.4917,306.53,33,57,2.46,BR,1727212471
301,piedmont,37.8244,-122.2316,306.14,49,20,8.05,US,1727212472
302,kupang,-10.1667,123.5833,298.47,94,11,0.51,ID,1727212473
303,newman,37.3138,-121.0208,312.87,11,0,1.57,US,1727212475
304,el granada,37.5027,-122.4694,301.48,64,20,5.66,US,1727212476
305,cambria,35.5641,-121.0808,309.39,73,40,2.49,US,1727212477
306,winnemucca,40.973,-117.7357,302.18,17,0,1.54,US,1727212330
307,bayganin,48.6947,55.8742,284.4,36,100,6.19,KZ,1727212479
308,touros,-5.1989,-35.4608,297.81,75,0,7.0,BR,1727212480
309,thames,-37.1333,175.5333,285.9,61,24,3.78,NZ,1727212203
310,song cau,13.45,109.2167,297.52,91,37,1.02,VN,1727212482
311,aras-asan,8.8908,126.3033,298.31,89,100,2.11,PH,1727212484
312,shengli,37.4564,118.4856,290.73,61,0,1.78,CN,1727212485
313,tintafor,8.6267,-13.215,297.57,94,100,3.74,SL,1727212486
314,gornopravdinsk,60.05,69.9,273.99,81,38,4.12,RU,1727212487
315,puerto santa,-8.9906,-78.6456,291.53,83,69,4.86,PE,1727212488
316,katsuura,35.1333,140.3,295.16,73,100,10.01,JP,1727212489
317,tolanaro,-25.0319,46.9987,293.59,92,100,5.04,MG,1727212490
